id,lot_frontage,lot_area,mas_vnr_area,bsmtfin_sf_1,bsmt_unf_sf,total_bsmt_sf,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,totrms_abvgrd,fireplaces,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,pool_area,misc_val,age_year_sold,remod_age_sold,garage,lot_shape_IR2,lot_shape_IR3,lot_shape_Reg,condition_1_Feedr,condition_1_Norm,condition_1_PosA,condition_1_PosN,condition_1_RRAe,condition_1_RRAn,condition_1_RRNe,condition_1_RRNn,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,house_style_1.5Unf,house_style_1Story,house_style_2.5Fin,house_style_2.5Unf,house_style_2Story,house_style_SFoyer,house_style_SLvl,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood,bsmt_qual_Fa,bsmt_qual_Gd,bsmt_qual_NA,bsmt_qual_Po,bsmt_qual_TA,bsmt_exposure_Gd,bsmt_exposure_Mn,bsmt_exposure_NA,bsmt_exposure_No,garage_type_Attchd,garage_type_Basment,garage_type_BuiltIn,garage_type_CarPort,garage_type_Detchd,garage_type_NA
109,-1.7490408903756496,0.512071084285544,1.0923289369928373,0.19717760806183254,-0.8438736408093462,-0.7391578798616578,-1.108837545943735,0.9978937064980367,-0.10797703168802328,-0.040633687751969454,-0.817493609221422,-0.2519938303122655,0.7697788728052137,1.2556113782344491,0.1893826733048602,-0.2045682017051497,-0.27944126600100755,-0.9257012731810796,-0.7301209610710309,-0.05330061440404812,-0.3772642570941544,-0.10273842098272254,-0.06348005083768206,-0.08996768869403445,-0.06844608354248034,-0.8843552392658826,-0.05196609079590847,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
544,-0.4510943112896237,0.21166364284817374,0.1914910346062622,0.4227337252837599,-0.6550732544281878,-0.32119276975739497,-0.6345096172276932,2.0670548963631346,-0.10797703168802328,1.2445288652250557,1.096523962140606,-0.2519938303122655,0.7697788728052137,1.2556113782344491,1.3994258600595888,-0.2045682017051497,1.0027377867239724,0.6408113599001038,-0.7301209610710309,0.3962657741197462,-0.3772642570941544,-0.10273842098272254,-0.06348005083768206,-0.08996768869403445,-0.7637388345467649,-0.5512749336403342,0.17527130067804506,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
153,0.30352579283015885,-0.31794355020437537,-0.565901341922578,0.6266017543112712,-0.5426920720584507,-0.001049281166895787,-0.2711946079983846,-0.7738591224212686,-0.10797703168802328,-0.8840840724429563,1.096523962140606,-0.2519938303122655,-1.0512320477524484,-0.740713378942958,0.1893826733048602,-0.2045682017051497,-0.9205307923634976,-0.9257012731810796,-0.7301209610710309,0.0665837558689637,-0.3772642570941544,-0.10273842098272254,-0.06348005083768206,-0.08996768869403445,0.6930650247003075,-0.979521040873182,-1.004198969353428,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
318,0.45444981365411535,-0.03904676506745874,-0.565901341922578,-0.9587974927005453,-0.4123299005095556,-1.497275446593326,-1.0609001488926455,0.8710042466019591,-0.10797703168802328,-0.11058810354387595,-0.817493609221422,-0.2519938303122655,0.7697788728052137,1.2556113782344491,0.1893826733048602,-0.2045682017051497,0.3616482603614824,-0.9257012731810796,0.04797971346076876,-0.7126646509056132,-0.3772642570941544,-0.10273842098272254,-0.06348005083768206,-0.08996768869403445,-1.0617214421200298,-0.979521040873182,-0.25485661889765265,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
255,0.726113051137237,0.6185859203112388,-0.565901341922578,-0.9587974927005453,0.2439762045297094,-0.8480955947292582,-0.841397330816605,0.6689210326933911,-0.10797703168802328,-0.10858940594982147,-0.817493609221422,-0.2519938303122655,0.7697788728052137,-0.740713378942958,0.1893826733048602,-0.2045682017051497,-0.27944126600100755,-0.9257012731810796,-0.7301209610710309,0.17148257985784904,-0.3772642570941544,-0.10273842098272254,-0.06348005083768206,-0.08996768869403445,2.4478514915206446,-0.3133604296220855,-0.027619227423699166,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
138,2.3862772802007584,0.953410411829335,-0.565901341922578,-0.42310171429846777,-0.02349100951026502,1.0216313073860877,1.8254357577624172,-0.7738591224212686,-0.10797703168802328,0.7768336282163093,-0.817493609221422,-0.2519938303122655,0.7697788728052137,1.2556113782344491,-1.0206605134498685,-0.2045682017051497,-0.27944126600100755,0.6408113599001038,-0.7301209610710309,-0.7126646509056132,-0.3772642570941544,-0.10273842098272254,-0.06348005083768206,-0.08996768869403445,0.2626457026500361,-0.7416065368549333,0.22667023446382023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
2827,-0.692572744607954,-0.9479832557769736,-0.09540001710920755,0.22754093153401508,-1.275417381109137,-1.1348908032582472,-0.23334929453699826,-0.7738591224212686,-0.10797703168802328,-0.8541036085321393,1.096523962140606,-0.2519938303122655,0.7697788728052137,-0.740713378942958,-1.0206605134498685,-0.2045682017051497,-0.9205307923634976,-0.9257012731810796,-0.7301209610710309,-0.05330061440404812,-0.3772642570941544,-0.10273842098272254,-0.06348005083768206,-0.08996768869403445,-1.1610489779777846,-1.1222697432841313,0.08329426127192101,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
145,-1.7490408903756496,0.31076101118405686,0.4669064442531132,1.2100113267410644,-0.8528641353989252,0.2901923647036278,0.05932112956438922,-0.7738591224212686,-0.10797703168802328,-0.6222546876218206,1.096523962140606,-0.2519938303122655,-1.0512320477524484,-0.740713378942958,0.1893826733048602,-0.2045682017051497,-0.27944126600100755,-0.9257012731810796,-0.7301209610710309,-0.7126646509056132,-0.3772642570941544,-0.10273842098272254,-0.06348005083768206,-0.08996768869403445,0.4944099529847977,1.3044581977020062,0.09952550352006054,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1942,-1.7490408903756496,0.8482307199878063,-0.565901341922578,-0.32550531742359534,0.1450807640443407,-0.2967373643789541,-0.6067563873560099,-0.7738591224212686,-0.10797703168802328,-1.149910852452201,-0.817493609221422,-0.2519938303122655,-1.0512320477524484,-0.740713378942958,-1.0206605134498685,-0.2045682017051497,-0.27944126600100755,-0.9257012731810796,-0.7301209610710309,4.142652345151365,-0.3772642570941544,-0.10273842098272254,-0.06348005083768206,0.6078030579058187,0.6268466674618043,1.4947898009166052,-0.7688459567554047,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1956,0.36389540115974145,0.2285754691809442,0.5357602966648259,0.45092823993650083,-0.39884415862518713,-0.03884399856994083,-0.3140859632546224,1.6699378829846698,-0.10797703168802328,1.1605835662747679,-0.817493609221422,3.723693446383554,-1.0512320477524484,3.2519361354118566,2.6094690468143176,-0.2045682017051497,1.6438273130864625,2.207323992981287,1.8765162986104977,-0.7126646509056132,-0.3772642570941544,-0.10273842098272254,-0.06348005083768206,-0.08996768869403445,0.06399063093452625,0.6858804872545594,0.026484913403432623,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
